Date,AAPL
2018-01-02,40.38098907470703
2018-01-03,40.37396240234375
2018-01-04,40.56150436401367
2018-01-05,41.02330780029297
2018-01-08,40.87092590332031
2018-01-09,40.86625289916992
2018-01-10,40.85686111450195
2018-01-11,41.08893966674805
2018-01-12,41.51322937011719
2018-01-16,41.30226516723633
2018-01-17,41.98440933227539
2018-01-18,42.02191925048828
2018-01-19,41.83440017700195
2018-01-22,41.492149353027344
2018-01-23,41.50151062011719
2018-01-24,40.840450286865234
2018-01-25,40.11142349243164
2018-01-26,40.20518493652344
2018-01-29,39.372989654541016
2018-01-30,39.14092254638672
2018-01-31,39.248756408691406
2018-02-01,39.330806732177734
2018-02-02,37.624229431152344
2018-02-05,36.68421936035156
2018-02-06,38.217308044433594
2018-02-07,37.39918518066406
2018-02-08,36.37009048461914
2018-02-09,36.81495666503906
2018-02-12,38.29781723022461
2018-02-13,38.68146896362305
2018-02-14,39.394657135009766
2018-02-15,40.71745681762695
2018-02-16,40.58564758300781
2018-02-20,40.44913101196289
2018-02-21,40.26554489135742
2018-02-22,40.60212707519531
2018-02-23,41.3082389831543
2018-02-26,42.12499237060547
2018-02-27,41.98848342895508
2018-02-28,41.924922943115234
2018-03-01,41.190574645996094
2018-03-02,41.47536087036133
2018-03-05,41.61894607543945
2018-03-06,41.58363342285156
2018-03-07,41.1976203918457
2018-03-08,41.647193908691406
2018-03-09,42.36272430419922
2018-03-12,42.77227020263672
2018-03-13,42.3603630065918
2018-03-14,42.00025177001953
2018-03-15,42.04966354370117
2018-03-16,41.901397705078125
2018-03-19,41.261173248291016
2018-03-20,41.247047424316406
2018-03-21,40.3126106262207
2018-03-22,39.74301528930664
2018-03-23,38.82270050048828
2018-03-26,40.665672302246094
2018-03-27,39.62297058105469
2018-03-28,39.18516540527344
2018-03-29,39.491153717041016
2018-04-02,39.23224639892578
2018-04-03,39.63473129272461
2018-04-04,40.392635345458984
2018-04-05,40.672725677490234
2018-04-06,39.63237380981445
2018-04-09,40.02545166015625
2018-04-10,40.77865219116211
2018-04-11,40.5880012512207
2018-04-12,40.98813247680664
2018-04-13,41.12700271606445
2018-04-16,41.383575439453125
2018-04-17,41.95317077636719
2018-04-18,41.85902404785156
2018-04-19,40.672725677490234
2018-04-20,39.006282806396484
2018-04-23,38.89331817626953
2018-04-24,38.3519401550293
2018-04-25,38.51905822753906
2018-04-26,38.65321731567383
2018-04-27,38.20601272583008
2018-04-30,38.898014068603516
2018-05-01,39.801841735839844
2018-05-02,41.56010818481445
2018-05-03,41.635414123535156
2018-05-04,43.268924713134766
2018-05-07,43.58195877075195
2018-05-08,43.79145050048828
2018-05-09,44.09979248046875
2018-05-10,44.7305908203125
2018-05-11,44.56047439575195
2018-05-14,44.456504821777344
2018-05-15,44.052459716796875
2018-05-16,44.463584899902344
2018-05-17,44.182430267333984
2018-05-18,44.02173614501953
2018-05-21,44.3336296081543
2018-05-22,44.222591400146484
2018-05-23,44.50611877441406
2018-05-24,44.456504821777344
2018-05-25,44.558109283447266
2018-05-29,44.39744567871094
2018-05-30,44.30293273925781
2018-05-31,44.1540641784668
2018-06-01,44.95033645629883
2018-06-04,45.326019287109375
2018-06-05,45.675716400146484
2018-06-06,45.83404541015625
2018-06-07,45.711177825927734
2018-06-08,45.295318603515625
2018-06-11,45.18425369262695
2018-06-12,45.432350158691406
2018-06-13,45.059024810791016
2018-06-14,45.082664489746094
2018-06-15,44.61954116821289
2018-06-18,44.595909118652344
2018-06-19,43.875247955322266
2018-06-20,44.06664276123047
2018-06-21,43.82090377807617
2018-06-22,43.69331741333008
2018-06-25,43.04354476928711
2018-06-26,43.577537536621094
2018-06-27,43.513736724853516
2018-06-28,43.83036422729492
2018-06-29,43.73821258544922
2018-07-02,44.22731399536133
2018-07-03,43.457027435302734
2018-07-05,43.80671691894531
2018-07-06,44.41398239135742
2018-07-09,45.03067398071289
2018-07-10,44.9763298034668
2018-07-11,44.3927116394043
2018-07-12,45.136993408203125
2018-07-13,45.20789337158203
2018-07-16,45.10865783691406
2018-07-17,45.236236572265625
2018-07-18,44.98814010620117
2018-07-19,45.33784103393555
2018-07-20,45.23387145996094
2018-07-23,45.2740364074707
2018-07-24,45.60247802734375
2018-07-25,46.03252029418945
2018-07-26,45.88837814331055
2018-07-27,45.12519836425781
2018-07-30,44.87236404418945
2018-07-31,44.962154388427734
2018-08-01,47.61088180541992
2018-08-02,49.0025749206543
2018-08-03,49.144351959228516
2018-08-06,49.3995361328125
2018-08-07,48.936424255371094
2018-08-08,48.96949768066406
2018-08-09,49.35464859008789
2018-08-10,49.20763397216797
2018-08-13,49.52535629272461
2018-08-14,49.73402404785156
2018-08-15,49.850215911865234
2018-08-16,50.58050537109375
2018-08-17,51.590599060058594
2018-08-20,51.08792495727539
2018-08-21,50.98833465576172
2018-08-22,50.99070739746094
2018-08-23,51.09503936767578
2018-08-24,51.25389099121094
2018-08-27,51.67595672607422
2018-08-28,52.093265533447266
2018-08-29,52.87099838256836
2018-08-30,53.35708236694336
2018-08-31,53.97356033325195
2018-09-04,54.14665603637695
2018-09-05,53.79336166381836
2018-09-06,52.899452209472656
2018-09-07,52.47265625
2018-09-10,51.768428802490234
2018-09-11,53.0772819519043
2018-09-12,52.41812515258789
2018-09-13,53.68428421020508
2018-09-14,53.07491683959961
2018-09-17,51.6617317199707
2018-09-18,51.747093200683594
2018-09-19,51.777915954589844
2018-09-20,52.17152404785156
2018-09-21,51.60957717895508
2018-09-24,52.351722717285156
2018-09-25,52.683677673339844
2018-09-26,52.26399230957031
