Date,MSFT
2018-01-02,79.19832611083984
2018-01-03,79.56690979003906
2018-01-04,80.26720428466797
2018-01-05,81.26236724853516
2018-01-08,81.34530639648438
2018-01-09,81.29000854492188
2018-01-10,80.92142486572266
2018-01-11,81.16100311279297
2018-01-12,82.5616226196289
2018-01-16,81.40982055664062
2018-01-17,83.05919647216797
2018-01-18,83.0223388671875
2018-01-19,82.9301986694336
2018-01-22,84.41371154785156
2018-01-23,84.68095397949219
2018-01-24,84.60723114013672
2018-01-25,85.0771713256836
2018-01-26,86.67124938964844
2018-01-29,86.54224395751953
2018-01-30,85.45497131347656
2018-01-31,87.546630859375
2018-02-01,86.85557556152344
2018-02-02,84.57035827636719
2018-02-05,81.08729553222656
2018-02-06,84.15571594238281
2018-02-07,82.57083892822266
2018-02-08,78.33219146728516
2018-02-09,81.25315856933594
2018-02-12,82.1285400390625
2018-02-13,82.77355194091797
2018-02-14,84.06963348388672
2018-02-15,85.78231048583984
2018-02-16,85.1712875366211
2018-02-20,85.83787536621094
2018-02-21,84.69915771484375
2018-02-22,84.92132568359375
2018-02-23,87.0783920288086
2018-02-26,88.33745574951172
2018-02-27,87.20800018310547
2018-02-28,86.8099136352539
2018-03-01,85.95821380615234
2018-03-02,86.14336395263672
2018-03-05,86.68956756591797
2018-03-06,86.3933334350586
2018-03-07,86.89324951171875
2018-03-08,87.42092895507812
2018-03-09,89.37432098388672
2018-03-12,89.58722686767578
2018-03-13,87.40243530273438
2018-03-14,86.88399505615234
2018-03-15,87.18949127197266
2018-03-16,87.57830810546875
2018-03-19,85.9952392578125
2018-03-20,86.2174301147461
2018-03-21,85.61567687988281
2018-03-22,83.12532806396484
2018-03-23,80.70905303955078
2018-03-26,86.81918334960938
2018-03-27,82.82908630371094
2018-03-28,82.75503540039062
2018-03-29,84.4954833984375
2018-04-02,81.94960021972656
2018-04-03,83.05126190185547
2018-04-04,85.47682189941406
2018-04-05,85.52308654785156
2018-04-06,83.5326919555664
2018-04-09,84.03260040283203
2018-04-10,85.98597717285156
2018-04-11,85.04169464111328
2018-04-12,86.634033203125
2018-04-13,86.17113494873047
2018-04-16,87.18023681640625
2018-04-17,88.93919372558594
2018-04-18,89.28173065185547
2018-04-19,88.97622680664062
2018-04-20,87.94863891601562
2018-04-23,88.27265167236328
2018-04-24,86.20816802978516
2018-04-25,85.45826721191406
2018-04-26,87.26356506347656
2018-04-27,88.70777893066406
2018-04-30,86.5784683227539
2018-05-01,87.94863891601562
2018-05-02,86.56922912597656
2018-05-03,87.08766174316406
2018-05-04,88.09677124023438
2018-05-07,89.07809448242188
2018-05-08,88.698486328125
2018-05-09,89.74462890625
2018-05-10,90.64263153076172
2018-05-11,90.44818878173828
2018-05-14,90.75372314453125
2018-05-15,90.09645080566406
2018-05-16,90.32888793945312
2018-05-17,89.4269790649414
2018-05-18,89.59434509277344
2018-05-21,90.74726867675781
2018-05-22,90.65431213378906
2018-05-23,91.73285675048828
2018-05-24,91.40742492675781
2018-05-25,91.45391845703125
2018-05-29,91.12849426269531
2018-05-30,92.00247955322266
2018-05-31,91.90021514892578
2018-06-01,93.71328735351562
2018-06-04,94.53150177001953
2018-06-05,95.01500701904297
2018-06-06,95.29390716552734
2018-06-07,93.7969741821289
2018-06-08,94.49432373046875
2018-06-11,93.95503997802734
2018-06-12,94.19679260253906
2018-06-13,93.76910400390625
2018-06-14,94.29908752441406
2018-06-15,93.09965515136719
2018-06-18,93.77838134765625
2018-06-19,93.77838134765625
2018-06-20,94.71749114990234
2018-06-21,94.0387191772461
2018-06-22,93.35999298095703
2018-06-25,91.48179626464844
2018-06-26,92.12337493896484
2018-06-27,90.69148254394531
2018-06-28,91.7049560546875
2018-06-29,91.68637084960938
2018-07-02,92.9880599975586
2018-07-03,92.09546661376953
2018-07-05,92.755615234375
2018-07-06,94.05731964111328
2018-07-09,94.69888305664062
2018-07-10,94.94990539550781
2018-07-11,94.81974792480469
2018-07-12,96.87458038330078
2018-07-13,98.02753448486328
2018-07-16,97.54402923583984
2018-07-17,98.51099395751953
2018-07-18,97.73927307128906
2018-07-19,97.0698013305664
2018-07-20,98.80853271484375
2018-07-23,100.38919067382812
2018-07-24,100.10093688964844
2018-07-25,103.0483627319336
2018-07-26,101.92333221435547
2018-07-27,100.11953735351562
2018-07-30,97.97171783447266
2018-07-31,98.63186645507812
2018-08-01,98.81781768798828
2018-08-02,100.01727294921875
2018-08-03,100.45427703857422
2018-08-06,100.53793334960938
2018-08-07,101.23528289794922
2018-08-08,101.80244445800781
2018-08-09,101.96981811523438
2018-08-10,101.34684753417969
2018-08-13,100.61231231689453
2018-08-14,101.8675537109375
2018-08-15,100.48616790771484
2018-08-16,100.46748352050781
2018-08-17,100.41148376464844
2018-08-20,99.7488021850586
2018-08-21,98.91810607910156
2018-08-22,99.92613983154297
2018-08-23,100.392822265625
2018-08-24,101.17682647705078
2018-08-27,102.29689025878906
2018-08-28,102.91292572021484
2018-08-29,104.5556411743164
2018-08-30,104.49029541015625
2018-08-31,104.844970703125
2018-09-04,104.26631164550781
2018-09-05,101.26085662841797
2018-09-06,101.49420928955078
2018-09-07,100.99950408935547
2018-09-10,102.091552734375
2018-09-11,103.82759094238281
2018-09-12,104.26631164550781
2018-09-13,105.3863296508789
2018-09-14,105.815673828125
2018-09-17,104.66763305664062
2018-09-18,105.6663589477539
2018-09-19,104.2569580078125
2018-09-20,106.00236511230469
2018-09-21,106.64639282226562
2018-09-24,107.02903747558594
2018-09-25,106.82371520996094
2018-09-26,106.38502502441406
