Date,GOOG
2018-01-02,52.88806915283203
2018-01-03,53.756134033203125
2018-01-04,53.950801849365234
2018-01-05,54.73691940307617
2018-01-08,54.97081756591797
2018-01-09,54.937049865722656
2018-01-10,54.75579071044922
2018-01-11,54.900306701660156
2018-01-12,55.73161315917969
2018-01-16,55.706783294677734
2018-01-17,56.21430969238281
2018-01-18,56.105552673339844
2018-01-19,56.488929748535156
2018-01-22,57.39771270751953
2018-01-23,58.10090255737305
2018-01-24,57.81634521484375
2018-01-25,58.12076187133789
2018-01-26,58.39240646362305
2018-01-29,58.379493713378906
2018-01-30,57.78903579711914
2018-01-31,58.09941101074219
2018-02-01,57.9881706237793
2018-02-02,55.217132568359375
2018-02-05,52.43119812011719
2018-02-06,53.66276931762695
2018-02-07,52.072654724121094
2018-02-08,49.73564147949219
2018-02-09,51.53632354736328
2018-02-12,52.239505767822266
2018-02-13,52.24745559692383
2018-02-14,53.12147903442383
2018-02-15,54.10573959350586
2018-02-16,54.367950439453125
2018-02-20,54.74834442138672
2018-02-21,55.1893310546875
2018-02-22,54.9554328918457
2018-02-23,55.956573486328125
2018-02-26,56.79881286621094
2018-02-27,55.53446578979492
2018-02-28,54.86106872558594
2018-03-01,53.1125373840332
2018-03-02,53.579341888427734
2018-03-05,54.17576217651367
2018-03-06,54.380863189697266
2018-03-07,55.10490417480469
2018-03-08,55.91734313964844
2018-03-09,57.6077766418457
2018-03-12,57.82925796508789
2018-03-13,56.521705627441406
2018-03-14,57.083858489990234
2018-03-15,57.08832931518555
2018-03-16,56.400535583496094
2018-03-19,54.61724090576172
2018-03-20,54.51245880126953
2018-03-21,54.173274993896484
2018-03-22,52.09748077392578
2018-03-23,50.73133087158203
2018-03-26,52.30258560180664
2018-03-27,49.913429260253906
2018-03-28,49.88661193847656
2018-03-29,51.23885726928711
2018-04-02,49.981468200683594
2018-04-03,50.326107025146484
2018-04-04,50.90861892700195
2018-04-05,51.04121398925781
2018-04-06,50.00977325439453
2018-04-09,50.42741012573242
2018-04-10,51.23141098022461
2018-04-11,50.651878356933594
2018-04-12,51.27461624145508
2018-04-13,51.11371612548828
2018-04-16,51.5462532043457
2018-04-17,53.342960357666016
2018-04-18,53.23966979980469
2018-04-19,54.01535415649414
2018-04-20,53.28337097167969
2018-04-23,53.009742736816406
2018-04-24,50.65237045288086
2018-04-25,50.71196365356445
2018-04-26,51.64855194091797
2018-04-27,51.15245056152344
2018-04-30,50.520774841308594
2018-05-01,51.51298141479492
2018-05-02,50.87088394165039
2018-05-03,50.838104248046875
2018-05-04,52.05427932739258
2018-05-07,52.381038665771484
2018-05-08,52.33734130859375
2018-05-09,53.77003860473633
2018-05-10,54.50550079345703
2018-05-11,54.53976821899414
2018-05-14,54.6361083984375
2018-05-15,53.59473419189453
2018-05-16,53.72087860107422
2018-05-17,53.562957763671875
2018-05-18,52.95561218261719
2018-05-21,53.612117767333984
2018-05-22,53.12296676635742
2018-05-23,53.617584228515625
2018-05-24,53.59523391723633
2018-05-25,53.41745376586914
2018-05-29,52.655662536621094
2018-05-30,53.02711486816406
2018-05-31,53.88078308105469
2018-06-01,55.59455108642578
2018-06-04,56.57733154296875
2018-06-05,56.595699310302734
2018-06-06,56.45764923095703
2018-06-07,55.81106948852539
2018-06-08,55.66259002685547
2018-06-11,56.11548614501953
2018-06-12,56.57881546020508
2018-06-13,56.353858947753906
2018-06-14,57.2144660949707
2018-06-15,57.22141647338867
2018-06-18,58.27421188354492
2018-06-19,58.00605010986328
2018-06-20,58.094444274902344
2018-06-21,57.48957824707031
2018-06-22,57.381324768066406
2018-06-25,55.85824966430664
2018-06-26,55.54290771484375
2018-06-27,54.82382583618164
2018-06-28,55.33234405517578
2018-06-29,55.40336227416992
2018-07-02,55.98985290527344
2018-07-03,54.76969528198242
2018-07-05,55.8314323425293
2018-07-06,56.62102508544922
2018-07-09,57.3103141784668
2018-07-10,57.25022506713867
2018-07-11,57.302860260009766
2018-07-12,58.77180862426758
2018-07-13,59.0369987487793
2018-07-16,58.790679931640625
2018-07-17,59.53260040283203
2018-07-18,59.38758850097656
2018-07-19,58.94462966918945
2018-07-20,58.84282302856445
2018-07-23,59.865333557128906
2018-07-24,61.979854583740234
2018-07-25,62.75554656982422
2018-07-26,62.9854736328125
2018-07-27,61.504112243652344
2018-07-30,60.57248306274414
2018-07-31,60.4493293762207
2018-08-01,60.58589172363281
2018-08-02,60.89080810546875
2018-08-03,60.76963806152344
2018-08-06,60.8222770690918
2018-08-07,61.688846588134766
2018-08-08,61.85719299316406
2018-08-09,62.0305061340332
2018-08-10,61.45991516113281
2018-08-13,61.33079528808594
2018-08-14,61.682891845703125
2018-08-15,60.306312561035156
2018-08-16,59.914493560791016
2018-08-17,59.639869689941406
2018-08-20,59.978057861328125
2018-08-21,59.672645568847656
2018-08-22,59.956199645996094
2018-08-23,59.8593635559082
2018-08-24,60.61768341064453
2018-08-27,61.66897964477539
2018-08-28,61.13911056518555
2018-08-29,62.04043960571289
2018-08-30,61.5349006652832
2018-08-31,60.495513916015625
2018-09-04,59.44321823120117
2018-09-05,58.9207878112793
2018-09-06,58.17389678955078
2018-09-07,57.84564971923828
2018-09-10,57.836204528808594
2018-09-11,58.467891693115234
2018-09-12,57.74582290649414
2018-09-13,58.36708068847656
2018-09-14,58.228031158447266
2018-09-17,57.409629821777344
2018-09-18,57.6663703918457
2018-09-19,58.15652084350586
2018-09-20,58.940155029296875
2018-09-21,57.90821838378906
2018-09-24,58.26974105834961
2018-09-25,58.82991027832031
2018-09-26,58.62332534790039
