Date,NVDA
2018-01-02,4.928806781768799
2018-01-03,5.253190040588379
2018-01-04,5.280882835388184
2018-01-05,5.325633525848389
2018-01-08,5.4888153076171875
2018-01-09,5.487331867218018
2018-01-10,5.530351161956787
2018-01-11,5.540244102478027
2018-01-12,5.513044834136963
2018-01-16,5.442084789276123
2018-01-17,5.556066036224365
2018-01-18,5.549141883850098
2018-01-19,5.689328670501709
2018-01-22,5.777844429016113
2018-01-23,5.9069037437438965
2018-01-24,5.830012321472168
2018-01-25,5.843609809875488
2018-01-26,6.016185283660889
2018-01-29,6.103215217590332
2018-01-30,6.001105308532715
2018-01-31,6.077254772186279
2018-02-01,5.946215629577637
2018-02-02,5.773639678955078
2018-02-05,5.283603668212891
2018-02-06,5.577328681945801
2018-02-07,5.6569414138793945
2018-02-08,5.3780517578125
2018-02-09,5.738037586212158
2018-02-12,5.637903690338135
2018-02-13,5.75163459777832
2018-02-14,5.968963146209717
2018-02-15,6.09456205368042
2018-02-16,6.028796195983887
2018-02-20,6.158351898193359
2018-02-21,5.971187114715576
2018-02-22,5.990731239318848
2018-02-23,6.084248065948486
2018-02-26,6.1003289222717285
2018-02-27,6.087464332580566
2018-02-28,5.987022399902344
2018-03-01,5.744819641113281
2018-03-02,5.851942539215088
2018-03-05,5.8299241065979
2018-03-06,5.99098014831543
2018-03-07,5.983060836791992
2018-03-08,5.966734886169434
2018-03-09,6.069404125213623
2018-03-12,6.179002285003662
2018-03-13,6.1282854080200195
2018-03-14,6.1537675857543945
2018-03-15,6.168612003326416
2018-03-16,6.196813583374023
2018-03-19,5.962281703948975
2018-03-20,6.1745500564575195
2018-03-21,6.149313926696777
2018-03-22,5.983309268951416
2018-03-23,5.7636213302612305
2018-03-26,6.048375606536865
2018-03-27,5.579308986663818
2018-03-28,5.4761457443237305
2018-03-29,5.7294793128967285
2018-04-02,5.468722343444824
2018-04-03,5.575103282928467
2018-04-04,5.5971221923828125
2018-04-05,5.476887226104736
2018-04-06,5.300492763519287
2018-04-09,5.329189777374268
2018-04-10,5.638437271118164
2018-04-11,5.5971221923828125
2018-04-12,5.803945541381836
2018-04-13,5.727254867553711
2018-04-16,5.727006912231445
2018-04-17,5.876683235168457
2018-04-18,5.847736358642578
2018-04-19,5.666393280029297
2018-04-20,5.658230781555176
2018-04-23,5.538736343383789
2018-04-24,5.472434997558594
2018-04-25,5.3601155281066895
2018-04-26,5.571887493133545
2018-04-27,5.599350929260254
2018-04-30,5.563971042633057
2018-05-01,5.619388103485107
2018-05-02,5.5988545417785645
2018-05-03,5.7641143798828125
2018-05-04,5.914286136627197
2018-05-07,6.152282238006592
2018-05-08,6.1948347091674805
2018-05-09,6.327936172485352
2018-05-10,6.435554504394531
2018-05-11,6.297011375427246
2018-05-14,6.317543983459473
2018-05-15,6.075094699859619
2018-05-16,6.086228847503662
2018-05-17,6.1282854080200195
2018-05-18,6.084496021270752
2018-05-21,6.042438983917236
2018-05-22,6.004340171813965
2018-05-23,6.127866744995117
2018-05-24,6.131580829620361
2018-05-25,6.170939922332764
2018-05-29,6.1538591384887695
2018-05-30,6.262780666351318
2018-05-31,6.242978572845459
2018-06-01,6.377398490905762
2018-06-04,6.556375980377197
2018-06-05,6.56182336807251
2018-06-06,6.563803195953369
2018-06-07,6.50810432434082
2018-06-08,6.49275541305542
2018-06-11,6.451663494110107
2018-06-12,6.50018310546875
2018-06-13,6.495727062225342
2018-06-14,6.607372283935547
2018-06-15,6.566526412963867
2018-06-18,6.562318801879883
2018-06-19,6.44052267074585
2018-06-20,6.493498802185059
2018-06-21,6.364772796630859
2018-06-22,6.212281227111816
2018-06-25,5.919428825378418
2018-06-26,5.990475654602051
2018-06-27,5.83526086807251
2018-06-28,5.962503433227539
2018-06-29,5.864472389221191
2018-07-02,5.9966654777526855
2018-07-03,5.862987518310547
2018-07-05,6.008795261383057
2018-07-06,6.122666835784912
2018-07-09,6.170197486877441
2018-07-10,6.269218444824219
2018-07-11,6.127618789672852
2018-07-12,6.219213485717773
2018-07-13,6.171930313110352
2018-07-16,6.144205093383789
2018-07-17,6.280110836029053
2018-07-18,6.23084831237793
2018-07-19,6.239016532897949
2018-07-20,6.210796356201172
2018-07-23,6.174159049987793
2018-07-24,6.156830787658691
2018-07-25,6.235055923461914
2018-07-26,6.308579444885254
2018-07-27,6.23876953125
2018-07-30,6.043452262878418
2018-07-31,6.061522483825684
2018-08-01,6.101379871368408
2018-08-02,6.204112529754639
2018-08-03,6.240749359130859
2018-08-06,6.28852653503418
2018-08-07,6.360812187194824
2018-08-08,6.397200584411621
2018-08-09,6.348681926727295
2018-08-10,6.3073410987854
2018-08-13,6.34026575088501
2018-08-14,6.471714019775391
2018-08-15,6.413539409637451
2018-08-16,6.372941017150879
2018-08-17,6.060533046722412
2018-08-20,6.135293483734131
2018-08-21,6.270949840545654
2018-08-22,6.506124973297119
2018-08-23,6.6056389808654785
2018-08-24,6.738821506500244
2018-08-27,6.829920291900635
2018-08-28,6.792291641235352
2018-08-29,6.897806644439697
2018-08-30,6.880965232849121
2018-08-31,6.952051162719727
2018-09-04,7.026851654052734
2018-09-05,6.896073341369629
2018-09-06,6.754891395568848
2018-09-07,6.733590602874756
2018-09-10,6.804676532745361
2018-09-11,6.7568745613098145
2018-09-12,6.642937183380127
2018-09-13,6.720712184906006
2018-09-14,6.846782207489014
2018-09-17,6.7848615646362305
2018-09-18,6.712785720825195
2018-09-19,6.736563205718994
2018-09-20,6.595382213592529
2018-09-21,6.525287628173828
2018-09-24,6.58101749420166
