Date,JNJ
2018-01-02,112.06001281738281
2018-01-03,113.13047790527344
2018-01-04,113.1224365234375
2018-01-05,114.05606079101562
2018-01-08,114.20092010498047
2018-01-09,116.0118637084961
2018-01-10,115.87506103515625
2018-01-11,116.53498840332031
2018-01-12,117.31570434570312
2018-01-16,118.20105743408203
2018-01-17,118.29765319824219
2018-01-18,118.24935913085938
2018-01-19,118.60350036621094
2018-01-22,119.23126983642578
2018-01-23,114.15266418457031
2018-01-24,114.34584045410156
2018-01-25,116.2210922241211
2018-01-26,116.96965026855469
2018-01-29,115.6416244506836
2018-01-30,114.63555145263672
2018-01-31,111.22297668457031
2018-02-01,112.69585418701172
2018-02-02,110.8125
2018-02-05,104.9450912475586
2018-02-06,106.10408020019531
2018-02-07,105.77409362792969
2018-02-08,101.70152282714844
2018-02-09,104.2529296875
2018-02-12,104.84852600097656
2018-02-13,104.59903717041016
2018-02-14,104.36559295654297
2018-02-15,105.62118530273438
2018-02-16,107.16651153564453
2018-02-20,105.33142852783203
2018-02-21,104.55875396728516
2018-02-22,104.55875396728516
2018-02-23,106.25700378417969
2018-02-26,106.9779281616211
2018-02-27,106.6539306640625
2018-02-28,105.20402526855469
2018-03-01,103.09796905517578
2018-03-02,104.34540557861328
2018-03-05,105.1310806274414
2018-03-06,103.85939025878906
2018-03-07,104.52357482910156
2018-03-08,106.96981811523438
2018-03-09,108.37924194335938
2018-03-12,107.43151092529297
2018-03-13,108.82475280761719
2018-03-14,107.1804428100586
2018-03-15,107.77983093261719
2018-03-16,108.28202056884766
2018-03-19,105.49562072753906
2018-03-20,106.28132629394531
2018-03-21,106.2651138305664
2018-03-22,103.17897033691406
2018-03-23,101.33216857910156
2018-03-26,103.18707275390625
2018-03-27,103.04129028320312
2018-03-28,103.23567962646484
2018-03-29,103.80265045166016
2018-04-02,100.8947525024414
2018-04-03,103.96469116210938
2018-04-04,105.63330078125
2018-04-05,105.87631225585938
2018-04-06,103.76219940185547
2018-04-09,104.8800048828125
2018-04-10,105.50369262695312
2018-04-11,105.00150299072266
2018-04-12,105.6495132446289
2018-04-13,105.80341339111328
2018-04-16,106.726806640625
2018-04-17,105.73858642578125
2018-04-18,103.45438385009766
2018-04-19,103.31668853759766
2018-04-20,102.59577178955078
2018-04-23,102.73348236083984
2018-04-24,102.21505737304688
2018-04-25,102.67678833007812
2018-04-26,103.68928527832031
2018-04-27,103.89989471435547
2018-04-30,102.45807647705078
2018-05-01,102.06926727294922
2018-05-02,100.0361557006836
2018-05-03,99.65542602539062
2018-05-04,100.59505462646484
2018-05-07,100.10904693603516
2018-05-08,99.31523895263672
2018-05-09,100.04425811767578
2018-05-10,101.53465270996094
2018-05-11,103.06558990478516
2018-05-14,102.10975646972656
2018-05-15,101.35645294189453
2018-05-16,101.53465270996094
2018-05-17,100.31963348388672
2018-05-18,100.63555145263672
2018-05-21,100.21434783935547
2018-05-22,99.5582275390625
2018-05-23,99.9956283569336
2018-05-24,99.02364349365234
2018-05-25,99.12154388427734
2018-05-29,97.43240356445312
2018-05-30,98.71353912353516
2018-05-31,97.61192321777344
2018-06-01,98.9501724243164
2018-06-04,99.51322937011719
2018-06-05,99.12971496582031
2018-06-06,100.19869995117188
2018-06-07,100.63932800292969
2018-06-08,101.23503875732422
2018-06-11,100.09259796142578
2018-06-12,99.99468994140625
2018-06-13,100.068115234375
2018-06-14,99.88858032226562
2018-06-15,100.05181121826172
2018-06-18,98.99913787841797
2018-06-19,100.01917266845703
2018-06-20,99.58668518066406
2018-06-21,99.105224609375
2018-06-22,100.23947143554688
2018-06-25,100.03549194335938
2018-06-26,99.83964538574219
2018-06-27,99.23577880859375
2018-06-28,99.55403900146484
2018-06-29,99.01545715332031
2018-07-02,99.21128845214844
2018-07-03,100.1334228515625
2018-07-05,102.0020751953125
2018-07-06,102.61408996582031
2018-07-09,102.8589096069336
2018-07-10,103.94420623779297
2018-07-11,103.01396179199219
2018-07-12,104.25428771972656
2018-07-13,102.76097869873047
2018-07-16,101.74913787841797
2018-07-17,105.35592651367188
2018-07-18,104.28693389892578
2018-07-19,102.76914978027344
2018-07-20,102.69570922851562
