Date,JPM
2018-01-02,87.15200805664062
2018-01-03,87.24082946777344
2018-01-04,88.49060821533203
2018-01-05,87.92251586914062
2018-01-08,88.0523681640625
2018-01-09,88.49872589111328
2018-01-10,89.47257995605469
2018-01-11,89.95138549804688
2018-01-12,91.4365005493164
2018-01-16,91.11190032958984
2018-01-17,91.69620513916016
2018-01-18,91.91529846191406
2018-01-19,91.7124252319336
2018-01-22,92.78365325927734
2018-01-23,92.68624877929688
2018-01-24,93.87113189697266
2018-01-25,93.89547729492188
2018-01-26,94.39862060546875
2018-01-29,94.3012466430664
2018-01-30,93.41667175292969
2018-01-31,93.87113189697266
2018-02-01,94.84500122070312
2018-02-02,92.7430648803711
2018-02-05,88.29582214355469
2018-02-06,90.9820327758789
2018-02-07,91.59879302978516
2018-02-08,87.5492172241211
2018-02-09,89.30213165283203
2018-02-12,90.68177795410156
2018-02-13,91.24173736572266
2018-02-14,93.35174560546875
2018-02-15,93.74129486083984
2018-02-16,93.06769561767578
2018-02-20,93.09203338623047
2018-02-21,93.48157501220703
2018-02-22,93.31116485595703
2018-02-23,95.20203399658203
2018-02-26,96.38690185546875
2018-02-27,95.24262237548828
2018-02-28,93.73316955566406
2018-03-01,92.05326843261719
2018-03-02,91.96401977539062
2018-03-05,93.37609100341797
2018-03-06,93.45722961425781
2018-03-07,93.1082763671875
2018-03-08,93.11641693115234
2018-03-09,95.79448699951172
2018-03-12,95.48612213134766
2018-03-13,94.34183502197266
2018-03-14,93.28681945800781
2018-03-15,93.52218627929688
2018-03-16,93.68446350097656
2018-03-19,92.94596099853516
2018-03-20,93.03524017333984
2018-03-21,93.11641693115234
2018-03-22,89.22911834716797
2018-03-23,86.84317016601562
2018-03-26,89.52128601074219
2018-03-27,87.78455352783203
2018-03-28,87.64659881591797
2018-03-29,89.24534606933594
2018-04-02,87.52487182617188
2018-04-03,88.72595977783203
2018-04-04,90.0730972290039
2018-04-05,91.25579833984375
2018-04-06,88.98013305664062
2018-04-09,90.04862976074219
2018-04-10,91.76966857910156
2018-04-11,90.22808837890625
2018-04-12,92.47116088867188
2018-04-13,89.9670639038086
2018-04-16,89.89364624023438
2018-04-17,89.89364624023438
2018-04-18,89.16771697998047
2018-04-19,91.12530517578125
2018-04-20,90.92140197753906
2018-04-23,90.48094177246094
2018-04-24,90.05680084228516
2018-04-25,89.71422576904297
2018-04-26,89.80393981933594
2018-04-27,89.23297882080078
2018-04-30,88.72726440429688
2018-05-01,88.72726440429688
2018-05-02,88.02580261230469
2018-05-03,87.47113037109375
2018-05-04,88.4417953491211
2018-05-07,89.20851135253906
2018-05-08,90.52986145019531
2018-05-09,92.50377655029297
2018-05-10,93.22154998779297
2018-05-11,92.87081146240234
2018-05-14,92.9034423828125
2018-05-15,92.1938247680664
2018-05-16,92.44666290283203
2018-05-17,92.13671875
2018-05-18,90.64404296875
2018-05-21,91.4760513305664
2018-05-22,92.17750549316406
2018-05-23,91.75335693359375
2018-05-24,90.72563171386719
2018-05-25,90.26071166992188
2018-05-29,86.40264892578125
2018-05-30,88.37654113769531
2018-05-31,87.28355407714844
2018-06-01,88.4173355102539
2018-06-04,88.45809173583984
2018-06-05,87.96054077148438
2018-06-06,90.0160140991211
2018-06-07,90.37489318847656
2018-06-08,90.62773895263672
2018-06-11,90.39934539794922
2018-06-12,89.87737274169922
2018-06-13,89.69791412353516
2018-06-14,88.11553955078125
2018-06-15,88.00949096679688
2018-06-18,88.23789978027344
2018-06-19,87.72400665283203
2018-06-20,87.71585083007812
2018-06-21,87.69137573242188
2018-06-22,86.2558364868164
2018-06-25,85.47278594970703
2018-06-26,85.52987670898438
2018-06-27,84.20852661132812
2018-06-28,85.58697509765625
2018-06-29,84.99153137207031
2018-07-02,85.7093276977539
2018-07-03,84.51033782958984
2018-07-05,85.0597915649414
2018-07-06,85.338623046875
2018-07-09,87.97930145263672
2018-07-10,87.43804168701172
2018-07-11,87.24942779541016
2018-07-12,87.62666320800781
2018-07-13,87.2248306274414
2018-07-16,90.68560791015625
2018-07-17,90.61997985839844
2018-07-18,91.46466827392578
2018-07-19,90.11972045898438
2018-07-20,91.25965881347656
2018-07-23,92.957275390625
2018-07-24,93.61333465576172
2018-07-25,94.45800018310547
2018-07-26,94.1873779296875
2018-07-27,95.15509796142578
2018-07-30,95.72915649414062
2018-07-31,94.2694091796875
2018-08-01,94.8516616821289
2018-08-02,95.25350952148438
2018-08-03,96.0243911743164
2018-08-06,96.04900360107422
2018-08-07,96.40161895751953
2018-08-08,96.59842681884766
2018-08-09,95.8521728515625
2018-08-10,94.90907287597656
2018-08-13,93.40010070800781
2018-08-14,94.02335357666016
2018-08-15,93.24429321289062
2018-08-16,94.12177276611328
2018-08-17,94.12177276611328
2018-08-20,93.99877166748047
2018-08-21,94.5728530883789
2018-08-22,94.28578186035156
2018-08-23,94.08898162841797
2018-08-24,94.0479736328125
2018-08-27,95.71278381347656
2018-08-28,95.24530792236328
2018-08-29,94.93367004394531
2018-08-30,94.4662094116211
2018-08-31,93.9659652709961
2018-09-04,94.43341827392578
2018-09-05,93.97415924072266
2018-09-06,93.57232666015625
2018-09-07,93.75273132324219
2018-09-10,93.25248718261719
2018-09-11,93.84294891357422
2018-09-12,92.73582458496094
2018-09-13,93.09666442871094
2018-09-14,93.08026123046875
2018-09-17,93.3591079711914
2018-09-18,93.73635864257812
2018-09-19,96.45903015136719
2018-09-20,97.28732299804688
2018-09-21,96.64767456054688
2018-09-24,95.72095489501953
2018-09-25,95.45033264160156
2018-09-26,94.3268051147461
