Date,XOM
2018-01-02,59.48667907714844
2018-01-03,60.654991149902344
2018-01-04,60.73894500732422
2018-01-05,60.68998718261719
2018-01-08,60.962825775146484
2018-01-09,60.70397186279297
2018-01-10,60.221256256103516
2018-01-11,60.81591796875
2018-01-12,61.22867202758789
2018-01-16,60.8438720703125
2018-01-17,61.56449508666992
2018-01-18,61.16571807861328
2018-01-19,60.96981430053711
2018-01-22,61.73938751220703
2018-01-23,61.774349212646484
2018-01-24,61.93525314331055
2018-01-25,61.82333755493164
2018-01-26,62.264060974121094
2018-01-29,61.57147216796875
2018-01-30,60.71096420288086
2018-01-31,61.07475280761719
2018-02-01,62.313053131103516
2018-02-02,59.136863708496094
2018-02-05,55.771812438964844
2018-02-06,54.81336212158203
2018-02-07,53.82694625854492
2018-02-08,53.21830749511719
2018-02-09,53.557525634765625
2018-02-12,54.00985336303711
2018-02-13,53.92504119873047
2018-02-14,54.038116455078125
2018-02-15,53.8614387512207
2018-02-16,54.09466552734375
2018-02-20,53.536319732666016
2018-02-21,52.928524017333984
2018-02-22,53.614078521728516
2018-02-23,54.794349670410156
2018-02-26,55.720191955566406
2018-02-27,54.77314758300781
2018-02-28,53.529258728027344
2018-03-01,53.147605895996094
2018-03-02,53.39498519897461
2018-03-05,53.903846740722656
2018-03-06,53.84023666381836
2018-03-07,52.48326110839844
2018-03-08,52.384334564208984
2018-03-09,52.69529724121094
2018-03-12,53.17588424682617
2018-03-13,52.674095153808594
2018-03-14,52.016822814941406
2018-03-15,52.59635925292969
2018-03-16,53.09107971191406
2018-03-19,52.40553283691406
2018-03-20,52.292449951171875
2018-03-21,53.0345458984375
2018-03-22,51.946144104003906
2018-03-23,51.5150260925293
2018-03-26,52.29951858520508
2018-03-27,52.087501525878906
2018-03-28,51.4584846496582
2018-03-29,52.730621337890625
2018-04-02,51.74824905395508
2018-04-03,53.02040100097656
2018-04-04,52.914398193359375
2018-04-05,53.72713851928711
2018-04-06,52.914398193359375
2018-04-09,52.914398193359375
2018-04-10,54.46923828125
2018-04-11,54.72365951538086
2018-04-12,54.57525634765625
2018-04-13,55.013431549072266
2018-04-16,55.50817108154297
2018-04-17,55.359737396240234
2018-04-18,55.98875045776367
2018-04-19,56.1301155090332
2018-04-20,55.83327102661133
2018-04-23,56.236114501953125
2018-04-24,55.373870849609375
2018-04-25,56.18663787841797
2018-04-26,57.1478271484375
2018-04-27,54.978111267089844
2018-04-30,54.9498291015625
2018-05-01,54.3844108581543
2018-05-02,54.27842712402344
2018-05-03,54.09466552734375
2018-05-04,54.34910202026367
2018-05-07,54.9427604675293
2018-05-08,55.19011306762695
2018-05-09,56.49055099487305
2018-05-10,57.755619049072266
2018-05-11,58.026912689208984
2018-05-14,58.41956329345703
2018-05-15,58.39101791381836
2018-05-16,58.555206298828125
2018-05-17,58.455265045166016
2018-05-18,58.041202545166016
2018-05-21,58.7408332824707
2018-05-22,58.28392791748047
2018-05-23,58.64802169799805
2018-05-24,57.30586242675781
2018-05-25,56.19214630126953
2018-05-29,55.985111236572266
2018-05-30,58.18399429321289
2018-05-31,57.99836730957031
2018-06-01,58.41956329345703
2018-06-04,57.805606842041016
2018-06-05,57.59857940673828
2018-06-06,58.58374786376953
2018-06-07,59.1691780090332
2018-06-08,59.68319320678711
2018-06-11,59.326236724853516
2018-06-12,58.84077453613281
2018-06-13,58.19110870361328
2018-06-14,58.4624137878418
2018-06-15,57.58430099487305
2018-06-18,57.69851303100586
2018-06-19,57.612850189208984
2018-06-20,57.43436050415039
2018-06-21,56.89179229736328
2018-06-22,58.09829330444336
2018-06-25,56.927494049072266
2018-06-26,57.57000732421875
2018-06-27,58.33389663696289
2018-06-28,58.51951599121094
2018-06-29,59.062095642089844
2018-07-02,58.36961364746094
2018-07-03,58.7122802734375
2018-07-05,58.7622184753418
2018-07-06,58.776512145996094
2018-07-09,59.18345260620117
2018-07-10,59.72602081298828
2018-07-11,58.962127685546875
2018-07-12,59.033531188964844
2018-07-13,59.476158142089844
2018-07-16,58.8907585144043
2018-07-17,58.7622184753418
2018-07-18,58.6979866027832
2018-07-19,58.54806900024414
2018-07-20,58.11259841918945
2018-07-23,58.11259841918945
2018-07-24,59.26197814941406
2018-07-25,59.6760368347168
2018-07-26,60.14009094238281
2018-07-27,58.48381423950195
2018-07-30,58.355316162109375
2018-07-31,58.19110870361328
2018-08-01,57.391536712646484
2018-08-02,57.048851013183594
2018-08-03,57.25588607788086
2018-08-06,57.24161148071289
2018-08-07,58.01976776123047
2018-08-08,57.63425827026367
2018-08-09,57.341556549072266
2018-08-10,57.283836364746094
2018-08-13,56.663543701171875
2018-08-14,56.48323440551758
2018-08-15,55.49509811401367
2018-08-16,56.2596321105957
2018-08-17,56.447181701660156
2018-08-20,56.84387969970703
2018-08-21,56.8582878112793
2018-08-22,57.673336029052734
2018-08-23,57.03861999511719
2018-08-24,57.4281005859375
2018-08-27,57.990699768066406
2018-08-28,57.90416717529297
2018-08-29,58.3224983215332
2018-08-30,58.070064544677734
2018-08-31,57.82481384277344
2018-09-04,57.91136169433594
2018-09-05,58.68312072753906
2018-09-06,58.03397750854492
2018-09-07,59.022132873535156
2018-09-10,58.935569763183594
2018-09-11,59.765045166015625
2018-09-12,59.95978927612305
2018-09-13,59.37554931640625
2018-09-14,59.808319091796875
2018-09-17,60.16175842285156
2018-09-18,60.3204345703125
2018-09-19,61.041725158691406
2018-09-20,61.17873001098633
2018-09-21,61.43119430541992
2018-09-24,62.462615966796875
2018-09-25,62.3905029296875
2018-09-26,61.87117004394531
