Date,META
2018-01-02,180.43014526367188
2018-01-03,183.66241455078125
2018-01-04,183.32427978515625
2018-01-05,185.8305206298828
2018-01-08,187.25271606445312
2018-01-09,186.84494018554688
2018-01-10,186.81512451171875
2018-01-11,186.74549865722656
2018-01-12,178.39132690429688
2018-01-16,177.41668701171875
2018-01-17,176.63099670410156
2018-01-18,178.8189697265625
2018-01-19,180.30084228515625
2018-01-22,184.3585968017578
2018-01-23,188.31689453125
2018-01-24,185.5321807861328
2018-01-25,186.45709228515625
2018-01-26,188.9633331298828
2018-01-29,184.96527099609375
2018-01-30,186.0990447998047
2018-01-31,185.8702850341797
2018-02-01,192.03646850585938
2018-02-02,189.24180603027344
2018-02-05,180.27099609375
2018-02-06,184.29893493652344
2018-02-07,179.19691467285156
2018-02-08,170.6438446044922
2018-02-09,175.1491241455078
2018-02-12,175.447509765625
2018-02-13,172.2052764892578
2018-02-14,178.54051208496094
2018-02-15,178.97811889648438
2018-02-16,176.39231872558594
2018-02-20,175.04966735839844
2018-02-21,176.93930053710938
2018-02-22,178.013427734375
2018-02-23,182.2899169921875
2018-02-26,183.92098999023438
2018-02-27,180.4699249267578
2018-02-28,177.34707641601562
2018-03-01,174.98004150390625
2018-03-02,175.65634155273438
2018-03-05,179.41571044921875
2018-03-06,178.79908752441406
2018-03-07,182.70765686035156
2018-03-08,181.34510803222656
2018-03-09,184.2193603515625
2018-03-12,183.75192260742188
2018-03-13,180.8876495361328
2018-03-14,183.18504333496094
2018-03-15,182.85684204101562
2018-03-16,184.0801239013672
2018-03-19,171.6184844970703
2018-03-20,167.23255920410156
2018-03-21,168.46578979492188
2018-03-22,163.99034118652344
2018-03-23,158.5203399658203
2018-03-26,159.1866912841797
2018-03-27,151.38946533203125
2018-03-28,152.19503784179688
2018-03-29,158.91815185546875
2018-04-02,154.54217529296875
2018-04-03,155.25823974609375
2018-04-04,154.25375366210938
2018-04-05,158.47059631347656
2018-04-06,156.34230041503906
2018-04-09,157.06829833984375
2018-04-10,164.13951110839844
2018-04-11,165.4125518798828
2018-04-12,162.9759063720703
2018-04-13,163.6223602294922
2018-04-16,163.93064880371094
2018-04-17,167.73977661132812
2018-04-18,165.45233154296875
2018-04-19,167.18283081054688
2018-04-20,165.37274169921875
2018-04-23,164.93515014648438
2018-04-24,158.8187255859375
2018-04-25,158.8187255859375
2018-04-26,173.2097625732422
2018-04-27,172.6428680419922
2018-04-30,171.06155395507812
2018-05-01,172.91139221191406
2018-05-02,175.10935974121094
2018-05-03,173.07054138183594
2018-05-04,175.64639282226562
2018-05-07,176.99896240234375
2018-05-08,177.9438018798828
2018-05-09,181.66339111328125
2018-05-10,184.51773071289062
2018-05-11,185.96974182128906
2018-05-14,185.62168884277344
2018-05-15,183.31431579589844
2018-05-16,182.20042419433594
2018-05-17,182.7574005126953
2018-05-18,181.6832733154297
2018-05-21,183.4833984375
2018-05-22,182.79718017578125
2018-05-23,185.8802490234375
2018-05-24,184.91554260253906
2018-05-25,183.91102600097656
2018-05-29,184.72657775878906
2018-05-30,186.64605712890625
2018-05-31,190.73362731933594
2018-06-01,192.93157958984375
2018-06-04,192.22544860839844
2018-06-05,191.88729858398438
2018-06-06,190.29603576660156
2018-06-07,187.1532745361328
2018-06-08,188.06826782226562
2018-06-11,190.49493408203125
2018-06-12,191.35023498535156
2018-06-13,191.3601837158203
2018-06-14,195.73617553710938
2018-06-15,194.78143310546875
2018-06-18,197.22799682617188
2018-06-19,196.41246032714844
2018-06-20,200.89785766601562
2018-06-21,200.40060424804688
2018-06-22,200.6392822265625
2018-06-25,195.27870178222656
2018-06-26,197.9142303466797
2018-06-27,194.77146911621094
2018-06-28,195.15933227539062
2018-06-29,193.25975036621094
2018-07-02,196.28318786621094
2018-07-03,191.67843627929688
2018-07-05,197.36721801757812
2018-07-06,202.12112426757812
2018-07-09,203.62290954589844
2018-07-10,202.42945861816406
2018-07-11,201.43490600585938
2018-07-12,205.791015625
2018-07-13,206.1888427734375
2018-07-16,206.0993194580078
2018-07-17,208.84426879882812
2018-07-18,208.21771240234375
2018-07-19,206.95462036132812
2018-07-20,208.79454040527344
2018-07-23,209.75927734375
2018-07-24,213.4987335205078
2018-07-25,216.31329345703125
2018-07-26,175.29827880859375
2018-07-27,173.93576049804688
2018-07-30,170.12667846679688
2018-07-31,171.6383819580078
2018-08-01,170.71343994140625
2018-08-02,175.40768432617188
2018-08-03,176.8100128173828
2018-08-06,184.67686462402344
2018-08-07,182.80711364746094
2018-08-08,184.1696319580078
2018-08-09,182.09103393554688
2018-08-10,179.27645874023438
2018-08-13,179.067626953125
2018-08-14,180.12184143066406
2018-08-15,178.55047607421875
2018-08-16,173.74679565429688
2018-08-17,172.8517303466797
2018-08-20,171.55882263183594
2018-08-21,171.6781768798828
2018-08-22,172.69261169433594
2018-08-23,171.95663452148438
2018-08-24,173.69708251953125
2018-08-27,176.4917755126953
2018-08-28,175.29827880859375
2018-08-29,174.9402618408203
2018-08-30,176.67076110839844
2018-08-31,174.7711944580078
2018-09-04,170.22613525390625
2018-09-05,166.26785278320312
2018-09-06,161.64321899414062
2018-09-07,162.15042114257812
2018-09-10,163.28419494628906
2018-09-11,165.03460693359375
2018-09-12,161.11610412597656
2018-09-13,160.47959899902344
2018-09-14,161.4343719482422
2018-09-17,159.703857421875
2018-09-18,159.42538452148438
2018-09-19,162.17031860351562
2018-09-20,165.1141815185547
2018-09-21,162.04103088378906
2018-09-24,164.5075225830078
2018-09-25,164.01023864746094
2018-09-26,166.03909301757812
2018-09-27,167.91879272460938
