Date,AAPL,MSFT,AMZN,GOOG,NVDA,META,TSLA,JNJ,JPM,XOM
2018-01-02,40.3809928894043,79.19833374023438,59.45050048828125,52.8880729675293,4.928807258605957,180.4301300048828,21.368667602539062,112.06002807617188,87.15202331542969,59.48664855957031
2018-01-03,40.37396240234375,79.56690979003906,60.209999084472656,53.756134033203125,5.2531914710998535,183.66241455078125,21.149999618530273,113.13048553466795,87.24082946777344,60.654998779296875
2018-01-04,40.561492919921875,80.26721954345703,60.47949981689453,53.95079803466797,5.280882358551025,183.32424926757812,20.974666595458984,113.1224594116211,88.49061584472656,60.73895263671875
2018-01-05,41.02330017089844,81.26237487792969,61.457000732421875,54.73692321777344,5.325633525848389,185.83053588867188,21.10533332824707,114.0560531616211,87.92251586914062,60.689979553222656
2018-01-08,40.870941162109375,81.34530639648438,62.34349822998047,54.970821380615234,5.4888153076171875,187.2527313232422,22.42733383178711,114.20095825195312,88.0523681640625,60.96281814575195
2018-01-09,40.866249084472656,81.29000854492188,62.6349983215332,54.937049865722656,5.487330913543701,186.84494018554688,22.246000289916992,116.01187896728516,88.49871826171875,60.70397186279297
2018-01-10,40.85685729980469,80.92144012451172,62.71649932861328,54.75579833984375,5.530351161956787,186.81509399414065,22.31999969482422,115.87500762939452,89.47257232666016,60.22124481201172
2018-01-11,41.08894729614258,81.16102600097656,63.83399963378906,54.90030288696289,5.5402421951293945,186.74549865722656,22.530000686645508,116.5350341796875,89.95137023925781,60.815921783447266
2018-01-12,41.51324462890625,82.56160736083984,65.26000213623047,55.73161315917969,5.5130462646484375,178.39132690429688,22.4146671295166,117.3157196044922,91.43649291992188,61.22867202758789
2018-01-16,41.30226516723633,81.40980529785156,65.24299621582031,55.706783294677734,5.442084789276123,177.41668701171875,22.67066764831543,118.2010498046875,91.11188507080078,60.84388732910156
2018-01-17,41.98442459106445,83.0591812133789,64.75,56.21431350708008,5.556065082550049,176.63101196289062,23.143999099731445,118.29766082763672,91.69621276855467,61.56446838378906
2018-01-18,42.021942138671875,83.02235412597656,64.66600036621094,56.10555267333984,5.549141883850098,178.81898498535156,22.971332550048828,118.24935150146484,91.91532135009766,61.16569900512695
2018-01-19,41.83440780639648,82.93017578125,64.72899627685547,56.48893356323242,5.689329147338867,180.3008270263672,23.334667205810547,118.603515625,91.7124252319336,60.969818115234375
2018-01-22,41.49214172363281,84.41371154785156,66.3655014038086,57.397708892822266,5.777843952178955,184.3585968017578,23.437332153320312,119.23127746582033,92.78366088867188,61.7393684387207
2018-01-23,41.50152587890625,84.6809310913086,68.12699890136719,58.10090255737305,5.906904697418213,188.31687927246097,23.519332885742188,114.15261840820312,92.68629455566406,61.774356842041016
2018-01-24,40.840450286865234,84.60723114013672,67.87550354003906,57.81634521484375,5.830011367797852,185.5321502685547,23.05933380126953,114.34584045410156,93.87112426757812,61.93526840209961
2018-01-25,40.11142349243164,85.07718658447266,68.89749908447266,58.12076568603515,5.843609809875488,186.4570770263672,22.50933265686035,116.22109985351562,93.89545440673828,61.82333755493164
2018-01-26,40.20518493652344,86.67127990722656,70.10250091552734,58.39241027832031,6.016185283660889,188.96331787109375,22.856666564941406,116.96964263916016,94.3986358642578,62.26407623291016
2018-01-29,39.37299728393555,86.54227447509766,70.88400268554688,58.37949752807617,6.10321569442749,184.9652557373047,23.302000045776367,115.64167022705078,94.3012466430664,61.57148361206055
2018-01-30,39.14092254638672,85.4549331665039,71.89099884033203,57.789039611816406,6.00110387802124,186.0990295410156,23.05466651916504,114.63553619384766,93.41664123535156,60.710975646972656
2018-01-31,39.24876022338867,87.54663848876953,72.54450225830078,58.09941101074219,6.077254772186279,185.87026977539065,23.62066650390625,111.22296905517578,93.87112426757812,61.074764251708984
2018-02-01,39.330806732177734,86.85556030273438,69.5,57.9881706237793,5.946217060089111,192.03648376464844,23.28333282470703,112.69585418701172,94.84498596191406,62.313045501708984
2018-02-02,37.62422561645508,84.57037353515625,71.49749755859375,55.21713638305664,5.773640155792236,189.24180603027344,22.916667938232425,110.8125,92.74309539794922,59.136863708496094
2018-02-05,36.6842041015625,81.08729553222656,69.5,52.43119812011719,5.283602237701416,180.27101135253903,22.208667755126953,104.94509887695312,88.29582214355469,55.77181243896485
2018-02-06,38.21731185913086,84.15572357177734,72.14199829101562,53.66276931762695,5.577327251434326,184.29893493652344,22.264667510986328,106.10408782958984,90.98202514648438,54.81336975097656
2018-02-07,37.39918899536133,82.57083892822266,70.83899688720703,52.072654724121094,5.656940937042236,179.19691467285156,23.0,105.77410125732422,91.59880065917967,53.826934814453125
2018-02-08,36.37008285522461,78.3321762084961,67.5250015258789,49.73564529418945,5.378048896789551,170.64382934570312,21.01533317565918,101.7015380859375,87.54920196533203,53.218284606933594
2018-02-09,36.81494903564453,81.25316619873047,66.9800033569336,51.53632354736328,5.738037109375,175.1491241455078,20.69466781616211,104.25292205810548,89.3021469116211,53.55754089355469
2018-02-12,38.29780197143555,82.1285171508789,69.3115005493164,52.239505767822266,5.637902736663818,175.44747924804688,21.048667907714844,104.84851837158205,90.68175506591795,54.00984954833984
2018-02-13,38.68146133422851,82.77355194091797,70.72550201416016,52.247459411621094,5.751636981964111,172.20526123046875,21.577333450317383,104.5989990234375,91.24171447753906,53.92503356933594
2018-02-14,39.394649505615234,84.06962585449219,72.55249786376953,53.121482849121094,5.9689621925354,178.54051208496094,21.487333297729492,104.3656005859375,93.35175323486328,54.03812026977539
